# ED537	MKO Y 1020/100nm HP: 970-1070nm	
# Information in red is the Room temp (298K) measured data for the delivered 80mm diameter filter	
#		
# ED537-1		ED537-2
# 80mm Dia X 5mm Thick		
# Measured at Center of part		
#	298K	298K
#peakT%	79.14382172	79.30427551
#Cut-on:	974.16	973.89
#Cut-off:	1071.54	1071.88
#wl(nm)	T%	T%
995	73.88385773	74.28381348
994.75	73.87218475	74.16517639
994.5	73.83538055	74.14717865
994.25	73.83587646	74.17904663
994	73.83927917	74.25750732
993.75	73.81954193	74.23001862
993.5	73.73718262	74.08300781
993.25	73.73726654	74.17475891
993	73.7022171	74.13440704
992.75	73.68187714	73.99150848
992.5	73.65351868	73.99271393
992.25	73.63647461	74.00099945
992	73.60582733	74.0350647
991.75	73.51426697	73.91130829
991.5	73.4358902	73.88326263
991.25	73.43731689	73.92627716
991	73.40975189	73.84729767
990.75	73.38404846	73.84749603
990.5	73.31404114	73.80722046
990.25	73.24796295	73.7412796
990	73.17591095	73.68352509
989.75	73.16235352	73.61183167
989.5	73.0989151	73.58982849
989.25	73.05263519	73.55161285
989	72.97837067	73.43478394
988.75	72.98983002	73.51206207
988.5	72.92127991	73.40242004
988.25	72.8515625	73.34720612
988	72.81040192	73.3675766
987.75	72.76463318	73.2698288
987.5	72.70565033	73.22966766
987.25	72.71897125	73.25786591
987	72.64723969	73.15128326
986.75	72.60597992	73.2447052
986.5	72.58230591	73.07963562
986.25	72.5350647	73.01612091
986	72.58053589	73.14492035
985.75	72.50753784	72.9726181
985.5	72.50807953	73.03806305
985.25	72.4653244	73.02839661
985	72.39307404	72.94403839
984.75	72.44807434	73.04799652
984.5	72.43412018	72.95972443
984.25	72.38051605	72.97608185
984	72.42445374	72.99910736
983.75	72.37102509	72.8476944
983.5	72.44953918	72.8572998
983.25	72.39686584	73.02239227
983	72.3549118	72.83738708
982.75	72.3112793	72.82594299
982.5	72.25731659	72.75409698
982.25	72.18528748	72.72937012
982	72.18371582	72.72329712
981.75	72.03694153	72.532341
981.5	71.92015076	72.43235016
981.25	71.83335114	72.32912445
981	71.55801392	72.07227325
980.75	71.41901398	72.03430939
980.5	71.11683655	71.66384125
980.25	70.85542297	71.40520477
980	70.49853516	71.14017487
979.75	70.04503632	70.6313858
979.5	69.64096832	70.29069519
979.25	68.99145508	69.72393036
979	68.42377472	69.17529297
978.75	67.646492	68.51081848
978.5	66.91331482	67.76321411
978.25	66.02251434	66.9460144
978	64.98101044	66.08883667
977.75	63.96611786	65.05674744
977.5	62.60585785	63.88130188
977.25	61.48997116	62.78978729
977	60.01809311	61.43761826
976.75	58.58322906	60.12324524
976.5	57.08876801	58.70261765
976.25	55.25621033	56.93737793
976	53.73178864	55.59931564
975.75	51.73329544	53.62299728
975.5	50.01469421	52.01693726
975.25	48.13998795	50.24444962
